,NMI_by_max,NMI_by_mean,ARI,label_averaged_max_F1,cluster_averaged_max_F1,runtime,objective
20_newsgroups_simple.mallet.5.topics,,,,,,,
reuters_simple.mallet.10.topics,,,,,,,
20_newsgroups_simple.mallet.20.topics,,,,,,,
20_newsgroups_complex.mallet.10.topics,,,,,,,
20_newsgroups_complex.mallet.40.topics,,,,,,,
20_newsgroups_complex.mallet.80.topics,,,,,,,
20_newsgroups_simple.mallet.80.topics,,,,,,,
20_newsgroups_simple.mallet.10.topics,,,,,,,
20_newsgroups_simple.mallet.160.topics,,,,,,,
20_newsgroups_complex.mallet.160.topics,,,,,,,
reuters_simple.mallet.5.topics,,,,,,,
20_newsgroups_simple.mallet.40.topics,,,,,,,
20_newsgroups_complex.mallet.20.topics,,,,,,,
20_newsgroups_complex.mallet.5.topics,,,,,,,
reuters_simple.mallet.160.topics,,,,,,,
reuters_simple.mallet.20.topics,,,,,,,
reuters_simple.mallet.40.topics,,,,,,,
reuters_simple.mallet.80.topics,,,,,,,
20_newsgroups_complex,0.236377686979,0.278231218085,0.077136603961,0.294571804376,0.163403097425,628.4408404827118,10701.677943244398
20_newsgroups_simple,0.443744503717,0.466179494413,0.165855884423,0.510697749713,0.232761455209,675.7457737922668,11158.739831306746
reuters_simple,0.471412507205,0.529752849247,0.296445094607,0.732979113647,0.421493975916,234.92419481277466,8610.399526035717
