,NMI_by_mean,NMI_by_max,ARI,cluster_averaged_max_F1,label_averaged_max_F1,runtime,objective
20_newsgroups_complex.mallet.160.topics,,,,,,,
20_newsgroups_complex.mallet.20.topics,,,,,,,
reuters_simple.mallet.160.topics,,,,,,,
reuters_simple.mallet.10.topics,,,,,,,
20_newsgroups_simple.mallet.40.topics,,,,,,,
20_newsgroups_complex.mallet.80.topics,,,,,,,
20_newsgroups_simple.mallet.20.topics,,,,,,,
20_newsgroups_complex.mallet.10.topics,,,,,,,
20_newsgroups_complex.mallet.40.topics,,,,,,,
20_newsgroups_complex.mallet.5.topics,,,,,,,
reuters_simple.mallet.5.topics,,,,,,,
20_newsgroups_simple.mallet.160.topics,,,,,,,
20_newsgroups_simple.mallet.10.topics,,,,,,,
reuters_simple.mallet.80.topics,,,,,,,
reuters_simple.mallet.40.topics,,,,,,,
reuters_simple.mallet.20.topics,,,,,,,
20_newsgroups_simple.mallet.80.topics,,,,,,,
20_newsgroups_simple.mallet.5.topics,,,,,,,
20_newsgroups_simple,0.464655578841,0.435067042523,0.151282795878,0.235782812804,0.504660576701,573.8766281604767,11158.739831306746
reuters_simple,0.522572090274,0.477245330211,0.315233877409,0.429055569405,0.749419216159,206.98935794830322,8610.399526035717
20_newsgroups_complex,0.270713347884,0.233807975368,0.0703397694787,0.163087043966,0.291982548865,737.8732805252075,10701.677943244398
