,NMI_by_mean,NMI_by_max,ARI,cluster_averaged_max_F1,label_averaged_max_F1,runtime,objective
20_newsgroups_complex.mallet.10.topics,0.40110526821,0.386398924398,0.225806005542,0.245203398099,0.385266919131,18.21736192703247,5753.402365711748
20_newsgroups_complex.mallet.160.topics,0.282207445349,0.231324634537,0.0880347157487,0.158979260921,0.300818953058,44.83505892753601,6044.538808844643
20_newsgroups_complex.mallet.20.topics,0.541979293458,0.515080537713,0.365258283957,0.293461851473,0.53453034509,16.983402967453003,4967.230700435218
20_newsgroups_complex.mallet.40.topics,0.448271890908,0.435446878905,0.267684069337,0.228629456514,0.510377951819,23.26961612701416,5382.716463926838
20_newsgroups_complex.mallet.5.topics,0.318575228688,0.303325227073,0.134658139641,0.19673566929,0.276732537279,13.449795007705688,4212.215885231108
20_newsgroups_complex.mallet.80.topics,0.365059564966,0.308460692977,0.145912435677,0.195795000395,0.40694604911,30.15537190437317,5731.984462137656
20_newsgroups_simple.mallet.10.topics,0.475616355255,0.448391794427,0.291785429413,0.290193390441,0.435568079141,12.264400005340576,7045.845192310144
20_newsgroups_simple.mallet.160.topics,0.395015865919,0.36459133744,0.156710174178,0.204227907924,0.448905082046,48.39509606361389,7885.407261554099
20_newsgroups_simple.mallet.20.topics,0.500106898484,0.496732444853,0.326876901552,0.263459476306,0.513210227896,15.51161813735962,7337.1382539411115
20_newsgroups_simple.mallet.40.topics,0.565243162798,0.557495468558,0.408431853748,0.285033489832,0.619837436904,19.18482804298401,7017.6416505201405
20_newsgroups_simple.mallet.5.topics,0.399325684826,0.358365767555,0.19267442771,0.225471885807,0.31503317416,12.269883871078491,5919.950286472364
20_newsgroups_simple.mallet.80.topics,0.487561876371,0.476104031112,0.295996259002,0.259641787165,0.556727939902,33.575342893600464,7576.941066830812
reuters_simple.mallet.10.topics,0.542378338461,0.533951679029,0.474418822585,0.403066714477,0.640385050432,11.520385026931763,6477.696082525219
reuters_simple.mallet.160.topics,0.416412491461,0.317930187994,0.107336595715,0.308420047693,0.53066234437,34.55211591720581,7626.183223481203
reuters_simple.mallet.20.topics,0.502743635481,0.455510415036,0.414630929907,0.395726053613,0.685637991617,13.576555013656616,6775.450997165219
reuters_simple.mallet.40.topics,0.471188640476,0.391428181473,0.231200065185,0.352647907024,0.593721331761,16.461395025253296,7270.438591531655
reuters_simple.mallet.5.topics,0.523368373492,0.497145860985,0.54772727675,0.405404992277,0.640242224191,11.513888120651245,5466.2089697493175
reuters_simple.mallet.80.topics,0.425491099297,0.331670449144,0.149590048746,0.325073675568,0.541278013206,22.820760011672974,7397.961716851678
